2017-05-14T17-48-06-car
  vel:   acl:
 8696,  4080
 1919, 11926
 5317,  4162
  948, 13146
 4362,  3856
 1090,  5295
 4796,  7529
 6439,  6248
12894, 13537
 2878,  7108
13516,   979
 3351,  9276
13236,  8397
 6454,  2767
 5814, 11536
10366,  7751
 5830,  7096
14192,  8178
 9129,  8998
 6886,  7703
  748, 10639
 8817, 10711
  153, 12896
10276, 14489
14485,  2573
 5615, 11086
14003,  9609
 1981,  2308
 1133,  6911
 5914,   408
 4545,  8775
11436,  8507
12358,  8003
14579, 12627
12385,  8932
12561,  2276
10137,  4000
13348,   370
  816, 11911
 6714,   759
 3682,  4949
 3646,  3721
 2940,   851
 2656,  2505
 5956,  2023
 5957,  6482
12674,  1557
 9512, 13913
 6025,  3408
12034, 12635
 8706, 12462
14508,  4614
14083,  4943
 8302, 12996
 4192,  8296
14148,  5769
  139, 10654
 1237,  3076
11296,  5775
 2235,  4446
 5998, 10318
11571,  8718
10487, 12112
 1972,  5444
 5697,  3968
 6147,   677
14390, 13236
 2068, 11082
 8321,  7824
11092, 12469
 7171,   251
  653,  2899
 5393,  2952
 4897,  7303
 2623,  3460
10544, 13848
10440,  9683
 6793,  8723
14876, 12876
 9319,  7618
11735,  7318
  874,  8431
11075,   425
 3697,  4190
 3369,  5793
 6001, 12610
 9010,  4562
 3944, 14140
12852, 11628
 9033,  7937
 5905,  6226
 1686, 14171
 5895,  3633
 6947,  7956
10682,  3728
12738,  2957
 6783,  3621
13100,  3336
12283,  5780
2017-05-14T17-48-17
