2017-05-14T17-48-06-motor
 mAmp:   RPM: Throt:  Temp:
 4080,  8696, 14197,  8032
11926,  1919,   425, 12894
 4162,  5317, 14894,  8413
13146,   948,  7910,  7236
 3856,  4362,  7866,   453
 5295,  1090,  4231,  9147
 7529,  4796,   992,  3638
 6248,  6439,  4381,  3440
13537, 12894, 10991,  2376
 7108,  2878,  1511,  1962
  979, 13516,  8236, 14065
 9276,  3351,  8206,   769
 8397, 13236,  4186, 11904
 2767,  6454,  6207, 11426
11536,  5814,  1763, 10988
 7751, 10366,  6630,  6629
 7096,  5830, 13412, 10078
 8178, 14192,  7625,  4378
 8998,  9129,  4788, 13650
 7703,  6886, 12431,  2882
10639,   748,  9669,  1960
10711,  8817,  4033, 13737
12896,   153, 10858,  3113
14489, 10276,  9136, 11776
 2573, 14485, 10666,  8865
11086,  5615,  3995,  6932
 9609, 14003, 10603,   441
 2308,  1981,  9583,  3625
 6911,  1133, 11590,  7448
  408,  5914,  6442, 12848
 8775,  4545, 11313,  5132
 8507, 11436, 12981,  6966
 8003, 12358, 14106,  6888
12627, 14579,  2783, 14789
 8932, 12385, 11082,  8284
 2276, 12561,  8786,  8058
 4000, 10137,  1927,  8322
  370, 13348, 14552,    88
11911,   816, 10313, 14106
  759,  6714,  9985,  5262
 4949,  3682,  2332, 12262
 3721,  3646,  9776,  1032
  851,  2940, 10982,  4028
 2505,  2656,  7558, 14623
 2023,  5956,  6545,  2544
 6482,  5957,  8913,   996
 1557, 12674, 11542,  6591
13913,  9512,  1618,  6754
 3408,  6025,  1074,  9407
12635, 12034, 11303, 10263
12462,  8706,  5595, 13871
 4614, 14508,  7296,  4997
 4943, 14083,  4968,  6653
12996,  8302,  1450,  7263
 8296,  4192,  2115,   390
 5769, 14148,  9464,  6195
10654,   139, 14001,  2338
 3076,  1237, 14537, 11923
 5775, 11296, 11010,  5728
 4446,  2235,  6084,  4699
10318,  5998,  8054, 12215
 8718, 11571,  8556,  8062
12112, 10487,  9762, 10572
 5444,  1972,  6802,  3090
 3968,  5697, 11943, 13757
  677,  6147,  9733,  9681
13236, 14390,  3187, 14731
11082,  2068,  7401,  2621
 7824,  8321,  5992,  1473
12469, 11092,    24,  5202
  251,  7171, 14032,  2991
 2899,   653,  8077,   296
 2952,  5393,   689,  7642
 7303,  4897,  1706,  2692
 3460,  2623,  5307, 10460
13848, 10544, 10663,  3514
 9683, 10440,  7934,  8126
 8723,  6793,  9387,  9918
12876, 14876,  5859,  7648
 7618,  9319, 13551, 11766
 7318, 11735, 14400,  7735
 8431,   874,   452,  7278
  425, 11075,  6976,   164
 4190,  3697,  9816,  5185
 5793,  3369, 13869,  5366
12610,  6001, 12150,   104
 4562,  9010,  1926, 13030
14140,  3944,  2031, 12405
11628, 12852, 13944, 13609
 7937,  9033,  2863, 11621
 6226,  5905, 12910,  8948
14171,  1686,  9757,  7043
 3633,  5895, 12453,  3870
 7956,  6947,  1133,  3773
 3728, 10682, 12220,  4665
 2957, 12738, 13489,  2778
 3621,  6783,  7169, 12454
 3336, 13100, 14350,   340
 5780, 12283,  2576,   430
2017-05-14T17-48-17
