2017-05-14T17-48-14-battery
 mAmp:  volt:  temp: state:
 5307,  2623,  3460, Running
10663, 10544, 13848, Running
 7934, 10440,  9683, Running
 9387,  6793,  8723, Running
 5859, 14876, 12876, Running
13551,  9319,  7618, Running
14400, 11735,  7318, Running
  452,   874,  8431, Running
 6976, 11075,   425, Running
 9816,  3697,  4190, Running
13869,  3369,  5793, Running
12150,  6001, 12610, Running
 1926,  9010,  4562, Running
 2031,  3944, 14140, Running
13944, 12852, 11628, Running
 2863,  9033,  7937, Running
12910,  5905,  6226, Running
 9757,  1686, 14171, Running
12453,  5895,  3633, Running
 1133,  6947,  7956, Running
12220, 10682,  3728, Running
13489, 12738,  2957, Running
 7169,  6783,  3621, Running
14350, 13100,  3336, Running
 2576, 12283,  5780, Running
2017-05-14T17-48-17
