2017-05-14T17-48-06-battery
 mAmp:  volt:  temp: state:
14197,  8696,  4080, Running
  425,  1919, 11926, Running
14894,  5317,  4162, Running
 7910,   948, 13146, Running
 7866,  4362,  3856, Running
 4231,  1090,  5295, Running
  992,  4796,  7529, Running
 4381,  6439,  6248, Running
10991, 12894, 13537, Running
 1511,  2878,  7108, Running
 8236, 13516,   979, Running
 8206,  3351,  9276, Running
 4186, 13236,  8397, Running
 6207,  6454,  2767, Running
 1763,  5814, 11536, Running
 6630, 10366,  7751, Running
13412,  5830,  7096, Running
 7625, 14192,  8178, Running
 4788,  9129,  8998, Running
12431,  6886,  7703, Running
 9669,   748, 10639, Running
 4033,  8817, 10711, Running
10858,   153, 12896, Running
 9136, 10276, 14489, Running
10666, 14485,  2573, Running
 3995,  5615, 11086, Running
10603, 14003,  9609, Running
 9583,  1981,  2308, Running
11590,  1133,  6911, Running
 6442,  5914,   408, Running
11313,  4545,  8775, Running
12981, 11436,  8507, Running
14106, 12358,  8003, Running
 2783, 14579, 12627, Running
11082, 12385,  8932, Running
 8786, 12561,  2276, Running
 1927, 10137,  4000, Running
14552, 13348,   370, Running
10313,   816, 11911, Running
 9985,  6714,   759, Running
 2332,  3682,  4949, Running
 9776,  3646,  3721, Running
10982,  2940,   851, Running
 7558,  2656,  2505, Running
 6545,  5956,  2023, Running
 8913,  5957,  6482, Running
11542, 12674,  1557, Running
 1618,  9512, 13913, Running
 1074,  6025,  3408, Running
2017-05-14T17-48-11
